MOF,Metal,Uptake,Error,Pore Volume,Void Fraction,Density,Surface Area,Pore Diameter
ADASEF,Cu,0.6439297192,0.023760806,1.95631,0.887154,0.435607,4167.72,21.62414
ANUGUM,Zn,0.4683789071,0.0268952388,1.09053,0.812524,0.68036,3444.05,8.23346
CAXTUS,Zn,0.4242321042,0.0090663263,0.98562,0.701855,0.710309,2001.1,13.47664
CEHLAD,Zn,0.3998688807,0.0116391822,0.853638,0.755217,0.853623,2337.76,10.21413
CUHPUR,Cd,0.3496542411,0.0270098478,0.748344,0.689087,0.89237,2231.51,7.61025
ECAHAT,Zn,0.2833819182,0.0074818074,0.717924,0.534409,0.854274,1178.64,12.33039
EFAYEQ,Cu,0.6039494493,0.0352500465,1.80841,0.811988,0.445224,5127.51,11.3339
EFAYIU,Zn,0.6200139503,0.0453126594,1.88014,0.842218,0.433579,5118.71,11.56521
EKUPEG,Cu,0.3700899398,0.0180254539,0.780536,0.632038,0.865202,1809.27,12.15079
FATKIV,Mn,0.3280527367,0.0172510427,0.783483,0.485123,0.799535,1099.34,14.84172
FAYPUS,Zn,0.3340910568,0.0259562735,0.774113,0.592069,0.842116,1598.53,13.61325
GAMXAV,Cu,0.3686774383,0.0219577569,0.777943,0.696239,0.868866,1834.67,12.82817
GAQYIH,Cd,0.5677640476,0.0292588287,1.51718,0.837613,0.559917,3713.05,20.25844
GITVEL,Zn,0.4028413175,0.0204900046,0.937704,0.657772,0.777112,2173.05,15.27666
HOHMEX,Cu,0.7191860356,0.0708354911,2.74085,0.879649,0.315898,4985.86,18.78417
ISOHEE,Zn,0.340420583,0.0184316907,0.776123,0.65439,0.84726,2012.61,8.55224
IYIHUU,Zn,0.4764683625,0.0245362117,1.19149,0.774678,0.633254,2974.18,12.02422
KEFBEE,Zn,0.4629436772,0.0132267368,1.06998,0.817433,0.706119,3087.74,11.08232
KEFBOO,Zn,0.460206349,0.0142244169,1.0408,0.804982,0.72084,3028.61,11.98728
LECGIL,Cu,0.3629899995,0.0127969275,0.77347,0.673489,0.936646,2133,10.08545
LEVLEF,Mg,0.3227903923,0.0044983852,0.700204,0.604647,0.883011,1046.72,20.19197
MAFJIO,Cu,0.4086692815,0.0166943435,0.931928,0.757855,0.774705,2858.11,10.24604
MAGBAZ,Zn,0.3006865388,0.0132285282,0.703495,0.635815,0.9596,1835.76,7.74379
MIZJUB,Zn,0.3298737544,0.0291033362,0.772895,0.623873,0.867592,2078.6,6.38416
NEDWAW,Mn,0.3914344031,0.03369266,0.891967,0.674706,0.756185,2501.29,8.21752
NESVAK,Cd,0.3449188147,0.0158723777,0.703013,0.710613,0.996288,1990.77,11.02589
NIBHUC,Cu,0.6218435421,0.0234714782,1.83779,0.869601,0.449382,4257.32,18.86769
NUTQAV,Cu,0.4559720126,0.0260379554,1.03775,0.805582,0.722737,3021.01,10.89201
OKABAE,Cu,0.5012895392,0.0302986765,1.19593,0.822327,0.650845,3125.73,14.07417
OLOGEC,Zn,0.569062153,0.0504174298,1.53307,0.836888,0.526318,3817.17,13.04043
OWITIY,Mn,0.5209291914,0.0345576698,1.3088,0.790748,0.594982,5104.21,7.66208
PIYZAZ,Cd,0.3402762711,0.0120861984,0.715455,0.651528,1.03548,2279.76,7.00061
PURJIW,Zn,0.3011845571,0.0132530265,0.717286,0.607223,0.894418,1853.67,8.03037
PURQUP,Cu,0.3485250382,0.0265268897,0.792786,0.643869,0.867926,2001.03,10.70132
QAQRUW,Mg,0.2900733334,0.0255258621,0.728742,0.621669,0.851853,1914.09,6.65732
QEPZUH,Cu,0.4605512449,0.0249447048,1.21269,0.711815,0.591685,3608.37,10.55832
RIBTAZ,Cu,0.376069262,0.0264305229,0.809992,0.754382,0.877067,2775.78,7.94342
TEDHAN,Zn,0.3461572737,0.014455816,0.797797,0.651283,0.899209,2086.42,10.07922
TEMPEI,Cu,0.5022785814,0.0204278538,1.26272,0.725005,0.592467,2906.75,15.71457
TONQOD,Zn,0.4220091242,0.0209035116,0.967717,0.768642,0.731874,3032.17,8.44379
UWAFOO,Zn,0.5249243879,0.0253094033,1.3566,0.792581,0.565579,3358.17,10.28423
VEMMAC,Zn,0.3457228994,0.0421417609,0.777081,0.678418,0.882251,2152.5,7.0981
VUQJUN,Mn,0.3788837503,0.0084214487,0.847897,0.709199,0.790589,1942.57,11.32844
WEHJOK,Zn,0.4268800535,0.0337761255,0.952685,0.789517,0.778372,2748.57,11.74533
WIYFAM,Zn,0.3829000948,0.0152872795,0.905771,0.694772,0.794129,2796.73,9.09166
XAHPIH,Cu,0.6952037341,0.064315768,2.41949,0.894668,0.356183,4682.56,14.31673
XOXMED,Zn,0.5765741189,0.032325123,1.58878,0.799528,0.499,3658.71,15.20269
YAPLOS,Mn,0.3377027344,0.0154412985,0.791755,0.59702,0.838059,1867.14,9.23645
YOZQAG,Zn,0.4740948231,0.0298897584,1.07468,0.755287,0.6982,2596.64,13.27914
ZELROZ,Zn,0.6879301904,0.0598760516,2.40128,0.88057,0.361932,4946.77,16.90888
